ano,mes,ipc
2018,Enero,-1.08
2018,Febrero,0.13
2018,Marzo,0.12
2018,Abril,0.83
2018,Mayo,0.9
2018,Junio,0.26
2018,Julio,-0.72
2018,Agosto,0.14
2018,Septiembre,0.24
2018,Octubre,0.92
2018,Noviembre,-0.11
2018,Diciembre,-0.45
2019,Enero,-1.28
2019,Febrero,0.24
2019,Marzo,0.36
2019,Abril,1.01
2019,Mayo,0.19
2019,Junio,-0.12
2019,Julio,-0.62
2019,Agosto,-0.06
2019,Septiembre,0
2019,Octubre,0.97
2019,Noviembre,0.17
2019,Diciembre,-0.07
2020,Enero,-0.98
2020,Febrero,-0.12
2020,Marzo,-0.38
2020,Abril,0.3
2020,Mayo,-0.01
2020,Junio,0.46
2020,Julio,-0.9
2020,Agosto,0.05
2020,Septiembre,0.15
2020,Octubre,0.53
2020,Noviembre,0.16
2020,Diciembre,0.21
2021,Enero,0.01
2021,Febrero,-0.59
2021,Marzo,0.97
2021,Abril,1.18
2021,Mayo,0.47
2021,Junio,0.48
2021,Julio,-0.75
2021,Agosto,0.45
2021,Septiembre,0.83
2021,Octubre,1.84
2021,Noviembre,0.31
2021,Diciembre,1.19