ano,mes,gasolina,gasoil
2018,Enero,1.270,1.182
2018,Febrero,1.250,1.159
2018,Marzo,1.244,1.155
2018,Abril,1.280,1.185
2018,Mayo,1.329,1.235
2018,Junio,1.339,1.245
2018,Julio,1.334,1.239
2018,Agosto,1.344,1.246
2018,Septiembre,1.349,1.263
2018,Octubre,1.359,1.291
2018,Noviembre,1.302,1.254
2018,Diciembre,1.213,1.166
2019,Enero,1.222,1.176
2019,Febrero,1.258,1.222
2019,Marzo,1.291,1.246
2019,Abril,1.354,1.264
2019,Mayo,1.373,1.276
2019,Junio,1.328,1.222
2019,Julio,1.342,1.229
2019,Agosto,1.333,1.221
2019,Septiembre,1.326,1.232
2019,Octubre,1.320,1.232
2019,Noviembre,1.312,1.231
2019,Diciembre,1.314,1.231
2020,Enero,1.327,1.247
2020,Febrero,1.306,1.207
2020,Marzo,1.217,1.117
2020,Abril,1.111,1.022
2020,Mayo,1.039,0.993
2020,Junio,1.132,1.027
2020,Julio,1.168,1.061
2020,Agosto,1.172,1.064
2020,Septiembre,1.172,1.043
2020,Octubre,1.165,1.031
2020,Noviembre,1.161,1.032
2020,Diciembre,1.189,1.068
2021,Enero,1.221,1.100
2021,Febrero,1.265,1.144
2021,Marzo,1.318,1.187
2021,Abril,1.329,1.186
2021,Mayo,1.355,1.210
2021,Junio,1.379,1.240
2021,Julio,1.413,1.268
2021,Agosto,1.425,1.269
2021,Septiembre,1.440,1.284
2021,Octubre,1.490,1.359
2021,Noviembre,1.518,1.386
2021,Diciembre,1.485,1.350